,Not talking at all,,,Normal conversation,,,Talking Loudly,,,,,,
Distance,3 feet,6 feet,10 feet,3 feet,6 feet,10 feet,3 feet,6 feet,10 feet,,,,
None wearing a mask,200,100,60,1000,600,300,6000,3000,1000,Visiting a Grocery Store,,,
You wearing a mask,200,100,60,1000,600,300,6000,3000,1000,,,,
All wearing masks,60,30,10,300,100,70,1000,700,400,,,,
None wearing a mask,5,2,1,20,10,6,100,60,30,Hanging our with 2 people outdoor,,,
You wearing a mask,5,2,1,20,10,6,100,60,30,,,,
All wearing masks,1,0.6,0.3,6,3,1,30,10,7,,,,
None wearing a mask,7000,3000,2000,30000,20000,9000,90000,90000,40000,"Attending an indoor party, wedding with 50 people for 3 hours",,,
You wearing a mask,7000,3000,2000,30000,20000,9000,90000,90000,40000,,,,Probability 1 in a million
All wearing masks,2000,900,400,9000,4000,2000,40000,20000,10000,,,,
None wearing a mask,1,0.6,0,6,3,0,30,10,0,Car ride with driver for 30 minutes with windows open,,,
You wearing a mask,1,0.6,0,6,3,0,30,10,0,,,,
All wearing masks,0.3,0.1,0,1,0.7,0,7,4,0,,,,
None wearing a mask,1000,500,300,5000,3000,1000,30000,1000,6000,Eating in a restaurant indoors with 15 people for 90 minutes,,,
You wearing a mask,1000,500,300,5000,3000,1000,30000,10000,6000,,,,
All wearing masks,300,100,60,1000,600,300,6000,3000,2000,,,,
None wearing a mask,2000,1000,600,10000,6000,3000,40000,30000,10000,Taking a plane ride with 20 people for 150 minutes,,,
You wearing a mask,2000,1000,600,10000,6000,3000,40000,30000,10000,,,,
All wearing masks,600,300,100,3000,1000,700,10000,7000,4000,,,,
